idCommune,idVoie,idAdresse
0_C,0_V,0_A
3110_C,26106_V,1_A
6_C,49_V,2_A
7_C,47_V,3_A
10_C,26_V,4_A
10_C,34_V,5_A
2865_C,1966_V,6_A
2865_C,20512_V,7_A
2865_C,20552_V,8_A
2872_C,21083_V,9_A
2908_C,22153_V,10_A
142_C,528_V,11_A
1129_C,8224_V,12_A
1129_C,8272_V,13_A
1129_C,8282_V,14_A
2900_C,22072_V,15_A
2276_C,15454_V,16_A
2893_C,21579_V,17_A
594_C,4476_V,18_A
2897_C,976_V,19_A
1856_C,12567_V,20_A
161_C,1077_V,21_A
167_C,1078_V,22_A
169_C,1071_V,23_A
198_C,1306_V,24_A
200_C,1252_V,25_A
203_C,1278_V,26_A
2190_C,14914_V,27_A
2889_C,21623_V,28_A
1256_C,9216_V,29_A
2888_C,1439_V,30_A
207_C,1543_V,31_A
3118_C,28078_V,32_A
3118_C,28100_V,33_A
223_C,1597_V,34_A
651_C,4826_V,35_A
248_C,1764_V,36_A
2875_C,21451_V,37_A
2875_C,21465_V,38_A
2926_C,13944_V,39_A
278_C,1913_V,40_A
1578_C,11178_V,41_A
875_C,6595_V,42_A
2377_C,16723_V,43_A
2377_C,16747_V,44_A
1535_C,10926_V,45_A
295_C,2067_V,46_A
1288_C,3656_V,47_A
308_C,2474_V,48_A
309_C,2363_V,49_A
309_C,2397_V,50_A
309_C,2431_V,51_A
2222_C,15355_V,52_A
3028_C,24829_V,53_A
1688_C,11856_V,54_A
321_C,2813_V,55_A
321_C,2822_V,56_A
2194_C,14922_V,57_A
337_C,3026_V,58_A
339_C,3049_V,59_A
339_C,3052_V,60_A
2907_C,22164_V,61_A
368_C,3238_V,62_A
2941_C,22984_V,63_A
1287_C,9378_V,64_A
759_C,5697_V,65_A
759_C,5712_V,66_A
3105_C,25724_V,67_A
3105_C,25730_V,68_A
3105_C,25751_V,69_A
3105_C,25756_V,70_A
458_C,3838_V,71_A
473_C,3913_V,72_A
508_C,4026_V,73_A
3116_C,27522_V,74_A
3116_C,27529_V,75_A
2867_C,20964_V,76_A
2920_C,22407_V,77_A
1930_C,13591_V,78_A
544_C,4213_V,79_A
2219_C,15234_V,80_A
