Commune,Code departement,idCommune
SAINT-ETIENNE-DU-BOIS,1,0_C
CHEVRY,1,1_C
DIVONNE-LES-BAINS,1,2_C
PERON,1,3_C
VALSERHONE,1,4_C
CULOZ,1,5_C
ST-GENIS-POUILLY,1,6_C
OYONNAX,1,7_C
ST-GERMAIN-DE-JOUX,1,8_C
GEX,1,9_C
AMBERIEU-EN-BUGEY,1,10_C
CESSY,1,11_C
SAULT-BRENAZ,1,12_C
FERNEY-VOLTAIRE,1,13_C
SEGNY,1,14_C
LAGNIEU,1,15_C
LE POIZAT-LALLEYRIAT,1,16_C
BELLEY,1,17_C
ORNEX,1,18_C
DORTAN,1,19_C
PREVESSIN-MOENS,1,20_C
BRENOD,1,21_C
SAINT-JEAN-LE-VIEUX,1,22_C
NANTUA,1,23_C
SAINT-DENIS-EN-BUGEY,1,24_C
THOIRY,1,25_C
BELLIGNAT,1,26_C
PLATEAU D'HAUTEVILLE,1,27_C
LELEX,1,28_C
VESANCY,1,29_C
IZERNORE,1,30_C
ECHENEVEX,1,31_C
VERSONNEX,1,32_C
SAINT-VULBAS,1,33_C
COLLONGES,1,34_C
CHAMPAGNE-EN-VALROMEY,1,35_C
JUJURIEUX,1,36_C
MATAFELON-GRANGES,1,37_C
HAUT-VALROMEY,1,38_C
ARBENT,1,39_C
LOYETTES,1,40_C
MIJOUX,1,41_C
SERGY,1,42_C
FARGES,1,43_C
CROZET,1,44_C
VILLARS-LES-DOMBES,1,45_C
MEXIMIEUX,1,46_C
MONTCEAUX,1,47_C
MONTLUEL,1,48_C
JASSANS-RIOTTIER,1,49_C
BEAUREGARD,1,50_C
DAGNEUX,1,51_C
MIONNAY,1,52_C
VILLIEU-LOYES-MOLLON,1,53_C
CHAUNY,2,54_C
LAON,2,55_C
LA FERE,2,56_C
URCEL,2,57_C
SAINT GOBAIN,2,58_C
TERGNIER,2,59_C
FOLEMBRAY,2,60_C
SAINT QUENTIN,2,61_C
SOISSONS,2,62_C
COURMELLES,2,63_C
VIC SUR AISNE,2,64_C
VILLERS-COTTERETS,2,65_C
LARGNY SUR AUTOMNE,2,66_C
NANTEUIL LA FOSSE,2,67_C
VAILLY-SUR-AISNE,2,68_C
COEUVRES ET VALSERY,2,69_C
BELLEU,2,70_C
CHATEAU THIERRY,2,71_C
FERE EN TARDENOIS,2,72_C
MOULINS,3,73_C
YZEURE,3,74_C
CUSSET,3,75_C
VICHY,3,76_C
SISTERON,4,77_C
RIEZ,4,78_C
ENCHASTRAYES,4,79_C
CHATEAU-ARNOUX-SAINT-AUBAN,4,80_C
DIGNE-LES-BAINS,4,81_C
MONTCLAR,4,82_C
ALLOS,4,83_C
CASTELLANE,4,84_C
JAUSIERS,4,85_C
LE LAUZET UBAYE,4,86_C
SEYNE,4,87_C
SAINTE CROIX DU VERDON,4,88_C
FAUCON-DE-BARCELONNETTE,4,89_C
BARCELONNETTE,4,90_C
GREOUX-LES-BAINS,4,91_C
SAINT-MARTIN-DE-BROMES,4,92_C
PEIPIN,4,93_C
VOLX,4,94_C
FORCALQUIER,4,95_C
SELONNET,4,96_C
MANOSQUE,4,97_C
UVERNET-FOURS,4,98_C
NOYERS-SUR-JABRON,4,99_C
PIERRERUE,4,100_C
ORAISON,4,101_C
L ESCALE,4,102_C
VILLENEUVE,4,103_C
VALENSOLE,4,104_C
VOLONNE,4,105_C
SAINTE-TULLE,4,106_C
SAINT-ETIENNE-LES-ORGUES,4,107_C
DEMANDOLX,4,108_C
BARREME,4,109_C
LARAGNE-MONTEGLIN,5,110_C
SAINT-MICHEL-DE-CHAILLOL,5,111_C
MONTGARDIN,5,112_C
VARS,5,113_C
EMBRUN,5,114_C
SAINT-SAUVEUR,5,115_C
BRIANCON,5,116_C
ORCIERES,5,117_C
VALLOUISE-PELVOUX,5,118_C
L'ARGENTIERE-LA-BESSEE,5,119_C
GAP,5,120_C
LE DEVOLUY,5,121_C
LA CHAPELLE-EN-VALGAUDEMAR,5,122_C
ABRIES-RISTOLAS,5,123_C
LA SALLE,5,124_C
VEYNES,5,125_C
ANCELLE,5,126_C
LES ORRES,5,127_C
SERRES,5,128_C
RISOUL,5,129_C
CHORGES,5,130_C
PUY SAINT VINCENT,5,131_C
SAINT-BONNET-EN-CHAMPSAUR,5,132_C
NEVACHE,5,133_C
LE MONETIER-LES-BAINS,5,134_C
LA BATIE NEUVE,5,135_C
GUILLESTRE,5,136_C
SAVINES-LE-LAC,5,137_C
MONTGENEVRE,5,138_C
LAYE,5,139_C
PUY-SANIERES,5,140_C
SAINT-CHAFFREY,5,141_C
NICE,6,142_C
SAINT-ANDRE DE LA ROCHE,6,143_C
LA TRINITE,6,144_C
FALICON,6,145_C
MENTON,6,146_C
ROQUEBRUNE CAP MARTIN,6,147_C
BEAUSOLEIL,6,148_C
LA BRIGUE,6,149_C
SAORGE,6,150_C
TENDE,6,151_C
