Surface reelle bati,Nombre pieces principales,Valeur fonciere,idType,idAdresse,idMut,idLocal
52,2,56000.0,0_T,0_A,0_M,0_L
6,1,15050.0,0_T,1_A,0_M,1_L
112,5,332500.0,0_T,2_A,0_M,2_L
112,5,439785.0,0_T,2_A,78_M,3_L
67,2,135700.0,0_T,3_A,0_M,4_L
68,3,140500.0,0_T,4_A,0_M,5_L
62,2,67000.0,0_T,5_A,0_M,6_L
22,1,535000.0,0_T,6_A,0_M,7_L
56,3,325000.0,0_T,6_A,84_M,8_L
54,2,364550.0,0_T,7_A,0_M,9_L
54,3,429244.0,0_T,8_A,0_M,10_L
44,3,468700.0,0_T,9_A,0_M,11_L
66,3,173000.0,0_T,10_A,0_M,12_L
20,1,178140.0,0_T,11_A,0_M,13_L
45,2,73150.0,0_T,12_A,0_M,14_L
94,4,227000.0,0_T,13_A,0_M,15_L
88,3,132500.0,0_T,14_A,0_M,16_L
73,4,192000.0,0_T,15_A,0_M,17_L
66,3,200000.0,0_T,16_A,0_M,18_L
32,1,125500.0,0_T,16_A,110_M,19_L
53,2,151000.0,0_T,16_A,124_M,20_L
44,2,220000.0,0_T,17_A,0_M,21_L
63,4,92500.0,0_T,18_A,0_M,22_L
44,2,200000.0,0_T,19_A,0_M,23_L
59,3,182000.0,0_T,20_A,0_M,24_L
46,2,95000.0,0_T,21_A,0_M,25_L
60,2,116000.0,0_T,21_A,22_M,26_L
34,1,244285.0,0_T,22_A,0_M,27_L
38,2,107000.0,0_T,23_A,0_M,28_L
35,2,123000.0,0_T,24_A,0_M,29_L
64,3,259000.0,0_T,25_A,0_M,30_L
45,2,169000.0,0_T,25_A,12_M,31_L
97,4,291880.0,0_T,26_A,0_M,32_L
78,4,153800.0,0_T,27_A,0_M,33_L
91,3,639000.0,0_T,28_A,0_M,34_L
45,2,117500.0,0_T,29_A,0_M,35_L
87,4,578000.0,0_T,30_A,0_M,36_L
40,2,228000.0,0_T,30_A,124_M,37_L
66,2,117000.0,0_T,31_A,0_M,38_L
314,8,4075000.0,0_T,32_A,0_M,39_L
316,8,4150000.0,0_T,32_A,75_M,40_L
295,6,3925000.0,0_T,32_A,107_M,41_L
150,5,1654000.0,0_T,33_A,0_M,42_L
55,2,270000.0,0_T,34_A,0_M,43_L
52,2,255000.0,0_T,34_A,37_M,44_L
35,2,67080.0,0_T,35_A,0_M,45_L
26,1,71290.0,0_T,35_A,27_M,46_L
45,2,42000.0,0_T,36_A,0_M,47_L
82,5,59000.0,0_T,36_A,63_M,48_L
63,2,546500.0,0_T,37_A,0_M,49_L
90,4,671450.0,0_T,38_A,0_M,50_L
75,4,285000.0,0_T,39_A,0_M,51_L
78,4,339000.0,0_T,39_A,26_M,52_L
74,4,68255.0,0_T,40_A,0_M,53_L
60,3,56100.0,0_T,40_A,130_M,54_L
63,4,100500.0,0_T,41_A,0_M,55_L
19,1,75000.0,0_T,42_A,0_M,56_L
59,3,173750.0,0_T,43_A,0_M,57_L
60,3,144000.0,0_T,44_A,0_M,58_L
40,1,38000.0,0_T,45_A,0_M,59_L
