Date mutation,Nature mutation,idMut
2020-02-03,Vente,0_M
2020-01-02,Vente,1_M
2020-01-08,Vente,2_M
2020-01-06,Vente,3_M
2020-01-07,Vente,4_M
2020-01-21,Vente,5_M
2020-01-16,Vente,6_M
2020-01-17,Vente,7_M
2020-01-27,Vente,8_M
2020-01-30,Vente,9_M
2020-01-09,Vente,10_M
2020-01-15,Vente,11_M
2020-01-20,Vente,12_M
2020-01-28,Vente,13_M
2020-01-22,Vente,14_M
2020-02-05,Vente,15_M
2020-01-31,Vente,16_M
2020-01-29,Vente,17_M
2020-01-23,Vente,18_M
2020-01-13,Vente,19_M
2020-02-07,Vente,20_M
2020-01-24,Vente,21_M
2020-02-06,Vente,22_M
2020-02-10,Vente,23_M
2020-02-12,Vente,24_M
2020-02-20,Vente,25_M
2020-02-04,Vente,26_M
2020-02-17,Vente,27_M
2020-02-14,Vente,28_M
2020-02-11,Vente,29_M
2020-02-18,Vente,30_M
2020-02-13,Vente,31_M
2020-02-19,Vente,32_M
2020-02-24,Vente,33_M
2020-02-25,Vente,34_M
2020-02-28,Vente,35_M
2020-02-21,Vente,36_M
2020-03-03,Vente,37_M
2020-02-27,Vente,38_M
2020-03-04,Vente,39_M
2020-03-09,Vente,40_M
2020-03-17,Vente,41_M
2020-03-05,Vente,42_M
2020-03-11,Vente,43_M
2020-03-10,Vente,44_M
2020-03-16,Vente,45_M
2020-03-02,Vente,46_M
2020-03-27,Vente,47_M
2020-03-19,Vente,48_M
2020-03-25,Vente,49_M
2020-03-12,Vente,50_M
2020-03-31,Vente,51_M
2020-04-01,Vente,52_M
2020-04-07,Vente,53_M
2020-03-18,Vente,54_M
2020-04-03,Vente,55_M
2020-03-14,Vente,56_M
2020-04-10,Vente,57_M
2020-04-22,Vente,58_M
2020-04-15,Vente,59_M
2020-04-08,Vente,60_M
2020-04-27,Vente,61_M
2020-04-09,Vente,62_M
2020-04-21,Vente,63_M
2020-03-26,Vente,64_M
2020-04-28,Vente,65_M
2020-04-29,Vente,66_M
2020-04-17,Vente,67_M
2020-04-24,Vente,68_M
2020-04-30,Vente,69_M
2020-05-06,Vente,70_M
2020-05-07,Vente,71_M
2020-05-13,Vente,72_M
2020-05-05,Vente,73_M
2020-05-19,Vente,74_M
2020-05-20,Vente,75_M
2020-05-15,Vente,76_M
2020-05-18,Vente,77_M
2020-05-12,Vente,78_M
2020-05-14,Vente,79_M
2020-05-11,Vente,80_M
2020-05-29,Vente,81_M
2020-06-02,Vente,82_M
2020-06-11,Vente,83_M
2020-06-04,Vente,84_M
2020-06-17,Vente,85_M
2020-06-26,Vente,86_M
2020-01-14,Vente,87_M
2020-01-10,Vente,88_M
2020-01-03,Vente,89_M
2020-04-06,Vente,90_M
2020-05-22,Vente,91_M
2020-05-04,Vente,92_M
2020-05-26,Vente,93_M
2020-05-30,Vente,94_M
2020-06-05,Vente,95_M
2020-06-25,Vente,96_M
2020-06-23,Vente,97_M
2020-06-24,Vente,98_M
2020-06-30,Vente,99_M
2020-03-06,Vente,100_M
2020-06-19,Vente,101_M
2020-04-20,Vente,102_M
2020-04-23,Vente,103_M
2020-05-25,Vente,104_M
2020-05-16,Vente,105_M
2020-05-27,Vente,106_M
2020-05-28,Vente,107_M
2020-06-10,Vente,108_M
2020-06-18,Vente,109_M
2020-06-09,Vente,110_M
2020-06-08,Vente,111_M
2020-01-04,Vente,112_M
2020-01-11,Vente,113_M
2020-02-22,Vente,114_M
2020-02-08,Vente,115_M
2020-02-26,Vente,116_M
2020-02-29,Vente,117_M
2020-02-15,Vente,118_M
2020-06-03,Vente,119_M
2020-06-06,Vente,120_M
2020-01-25,Vente,121_M
2020-06-16,Vente,122_M
2020-06-20,Vente,123_M
2020-06-12,Vente,124_M
2020-06-15,Vente,125_M
2020-06-13,Vente,126_M
2020-06-29,Vente,127_M
2020-04-02,Vente,128_M
2020-04-16,Vente,129_M
2020-06-22,Vente,130_M
2020-03-20,Vente,131_M
2020-03-23,Vente,132_M
2020-03-30,Vente,133_M
2020-03-13,Vente,134_M
2020-06-01,Vente,135_M
2020-03-24,Vente,136_M
2020-04-14,Vente,137_M
2020-03-07,Vente,138_M
2020-06-27,Vente,139_M
2020-03-21,Vente,140_M
2020-02-01,Vente,141_M
2020-05-23,Vente,142_M
2020-01-18,Vente,143_M
2020-04-04,Vente,144_M
2020-06-07,Vente,145_M
2020-04-18,Vente,146_M
2020-05-21,Vente,147_M
2020-01-12,Vente,148_M
2020-05-01,Vente,149_M
2020-02-16,Vente,150_M
2020-04-11,Vente,151_M
2020-01-19,Vente,152_M
2020-05-09,Vente,153_M
2020-03-28,Vente,154_M
2020-05-02,Vente,155_M
2020-05-08,Vente,156_M
2020-02-23,Vente,157_M
