No voie,B/T/Q,Type de voie,Voie,idVoie
190.0,A,RUE,CENTRALE,0_V
347.0,,RUE,DU CHATEAU,1_V
58.0,,AV,DU MONT BLANC,2_V
140.0,,RUE,DE L'ABBE JOLIVET,3_V
39.0,,RUE,BUFFON,4_V
28.0,,AV,JEAN FALCONNIER,5_V
8.0,,RUE,DE GENEVE,6_V
2.0,,RUE,DU RECULET,7_V
1403.0,,RUE,JEAN DE GINGINS,8_V
226.0,,ALL,DES CAPUCINES,9_V
276.0,,RTE,DE POUGNY,10_V
79.0,,CRS,DE VERDUN,11_V
77.0,B,RUE,DU COMMERCE,12_V
240.0,,RUE,DE PRE BAILLY,13_V
3.0,,RUE,TURENNE,14_V
44.0,,ALL,DU SQUARE DE LAUSANNE,15_V
59.0,,RUE,ALEXANDRE BERARD,16_V
282.0,,CHE,DES LONGES RAYES,17_V
54.0,,GR,GRANDE RUE,18_V
1.0,,RUE,DE GEX,19_V
17.0,,LOT,LES JARDINS DE CHEVRY,20_V
329.0,,RUE,DES CARPIERES,21_V
369.0,,AV,CHARLES DE GAULLE,22_V
154.0,,RUE,SUR LA VIGNETTE,23_V
6.0,,RUE,DES USINIERS,24_V
2.0,,RUE,DU JURA,25_V
54.0,,RUE,MARCEL DEMIA,26_V
269.0,,CHE,DE CHARIGNIN,27_V
322.0,,RUE,DE BRETIGNY,28_V
132.0,,ALL,DES HETRES,29_V
80.0,,RUE,DE MEYRIN,30_V
4.0,,RUE,DE LA MAIRIE,31_V
79.0,,GR,GRANDE RUE DE BULLIEZ,32_V
8.0,,RUE,DE LA BIENNE,33_V
29.0,,RUE,REINE CLOTILDE,34_V
3.0,,RUE,STE MARIE,35_V
956.0,,RTE,DE BOURG,36_V
1.0,,AV,DU BIJOU,37_V
58.0,,CHE,DE LA PLANCHE BRULEE,38_V
211.0,,RUE,CHANTEPIE,39_V
25.0,,RUE,DE LA ROCHE SAMUEL,40_V
25.0,,RUE,DE LA COMMUNE 1871,41_V
6.0,,,DE LA TOUR,42_V
91.0,,CHE,DE LA PLANCHE BRULEE,43_V
3.0,,RUE,DU DOCTEUR GREZEL,44_V
28.0,,RUE,DU DOC CHARCOT,45_V
312.0,,RUE,DES TERRASSES,46_V
10.0,,RUE,AMPERE,47_V
1.0,,RUE,GERARD DE NERVAL,48_V
10.0,,RUE,DES HAUTAINS,49_V
102.0,,MAIL,DU NEUTRINO,50_V
84.0,,RUE,DE MEYRIN,51_V
115.0,,RUE,MASONOD,52_V
